0;id;notes;macro;version;arch;enabled;update;remove;name;url;manifest;deps;rank;class;packages;brief;description
1;2;ok;OFFICIAL;current;i386;1;1;0;slackware-current;http://ftp.osuosl.org/pub/slackware/slackware-current/;slackware/MANIFEST.bz2;0;30;32cur;PACKAGES.TXT;Official;Slackware 32bit Official Distribution - Current Version
2;1;ok;OFFICIAL;current;x86_64;1;1;0;slackware64-current;http://ftp.osuosl.org/pub/slackware/slackware64-current/;slackware64/MANIFEST.bz2;0;30;64cur;PACKAGES.TXT;Official;Slackware 64bit Official Distribution - Current Version
3;62;ok;OFFICIAL;current;x86_64;1;1;0;slackware64-current-extra;http://ftp.osuosl.org/pub/slackware/slackware64-current/;extra/MANIFEST.bz2;0;30;64cur;extra/PACKAGES.TXT;Extra;Slackware 64bit Official Extra Packages for Current Version
4;64;ok;OFFICIAL;current;i386;1;1;0;slackware-current-extra;http://ftp.osuosl.org/pub/slackware/slackware-current/;extra/MANIFEST.bz2;0;30;32cur;extra/PACKAGES.TXT;Extra;Slackware 32bit Official Extra Packages for Current Version
5;3;ok;OFFICIAL;12.2;i386;1;0;0;slackware-12.2;http://ftp.osuosl.org/pub/slackware/slackware-12.2/;;1;30;32122;PACKAGES.TXT;Official;Slackware 32bit Official Distribution - 12.2 Version
6;5;ok;OFFICIAL;13.0;i386;1;0;0;slackware-13.0;http://ftp.osuosl.org/pub/slackware/slackware-13.0/;;1;30;32130;PACKAGES.TXT;Official;Slackware 32bit Official Distribution - 13.0 Version
7;6;ok;OFFICIAL;13.0;i386;1;1;0;slackware-13.0-patches;http://ftp.osuosl.org/pub/slackware/slackware-13.0/;;0;30;32130;patches/PACKAGES.TXT;Patches;Slackware 32bit Official Patches for 13.0 Version
8;63;ok;OFFICIAL;13.0;i386;1;0;0;slackware-13.0-extra;http://ftp.osuosl.org/pub/slackware/slackware-13.0/;;0;30;32130;extra/PACKAGES.TXT;Extra;Slackware 32bit Official Extra Packages for 13.0 Version
9;4;ok;OFFICIAL;13.0;x86_64;1;0;0;slackware64-13.0;http://ftp.osuosl.org/pub/slackware/slackware64-13.0/;;0;30;64130;PACKAGES.TXT;Official;Slackware 64bit Official Distribution - 13.0 Version
10;7;ok;OFFICIAL;13.0;x86_64;1;1;0;slackware64-13.0-patches;http://ftp.osuosl.org/pub/slackware/slackware64-13.0/;;0;30;64130;patches/PACKAGES.TXT;Patches;Slackware 64bit Official Patches for 13.0 Version
11;61;ok;OFFICIAL;13.0;x86_64;1;0;0;slackware64-13.0-extra;http://ftp.osuosl.org/pub/slackware/slackware64-13.0/;;0;30;64130;extra/PACKAGES.TXT;Extra;Slackware 64bit Official Extra Packages for 13.0 Version
12;72;ok;OFFICIAL;13.1;i386;1;0;0;slackware-13.1;http://ftp.osuosl.org/pub/slackware/slackware-13.1/;;1;30;32131;PACKAGES.TXT;Official;Slackware 32bit Official Distribution - 13.1 Version
13;73;ok;OFFICIAL;13.1;i386;1;1;0;slackware-13.1-patches;http://ftp.osuosl.org/pub/slackware/slackware-13.1/;;0;30;32131;patches/PACKAGES.TXT;Patches;Slackware 32bit Official Patches for 13.1 Version
14;76;ok;OFFICIAL;13.1;i386;1;0;0;slackware-13.1-extra;http://ftp.osuosl.org/pub/slackware/slackware-13.1/;;0;30;32131;extra/PACKAGES.TXT;Extra;Slackware 32bit Official Extra Packages for 13.1 Version
15;71;ok;OFFICIAL;13.1;x86_64;1;0;0;slackware64-13.1;http://ftp.osuosl.org/pub/slackware/slackware64-13.1/;;0;30;64131;PACKAGES.TXT;Official;Slackware 64bit Official Distribution - 13.1 Version
16;74;ok;OFFICIAL;13.1;x86_64;1;1;0;slackware64-13.1-patches;http://ftp.osuosl.org/pub/slackware/slackware64-13.1/;;0;30;64131;patches/PACKAGES.TXT;Patches;Slackware 64bit Official Patches for 13.1 Version
17;75;ok;OFFICIAL;13.1;x86_64;1;0;0;slackware64-13.1-extra;http://ftp.osuosl.org/pub/slackware/slackware64-13.1/;;0;30;64131;extra/PACKAGES.TXT;Extra;Slackware 64bit Official Extra Packages for 13.1 Version
18;65;ok;OFFICIAL;13.37;i386;1;0;0;Slackware-13.37;http://ftp.osuosl.org/pub/slackware/slackware-13.37/;slackware/MANIFEST.bz2;0;30;32137;PACKAGES.TXT;Official;Slackware 32bit Official Distribution - 13.37 Version
19;66;ok;OFFICIAL;13.37;i386;1;1;0;Slackware-13.37-patches;http://ftp.osuosl.org/pub/slackware/slackware-13.37/;patches/MANIFEST.bz2;0;30;32137;patches/PACKAGES.TXT;Patches;Slackware 32bit Official Patches for 13.37 Version
20;67;ok;OFFICIAL;13.37;i386;1;0;0;Slackware-13.37-extra;http://ftp.osuosl.org/pub/slackware/slackware-13.37/;extra/MANIFEST.bz2;0;30;32137;extra/PACKAGES.TXT;Extra;Slackware 32bit Official Extra Packages for 13.37 Version
21;68;ok;OFFICIAL;13.37;x86_64;1;0;0;Slackware64-13.37;http://ftp.osuosl.org/pub/slackware/slackware64-13.37/;slackware64/MANIFEST.bz2;0;30;64137;PACKAGES.TXT;Official;Slackware 64bit Official Distribution - 13.37 Version
